"Code du chapitre SH";"Libellé du chapitre SH";"Code du groupement d'utilisation";"Libellé du groupement d'utilisation";"Code de la section CTCI";"Libellé de la section CTCI";"Poids en KG Janvier 2000";"Poids en KG Février 2000";"Poids en KG Mars 2000";"Poids en KG Avril 2000";"Poids en KG Mai 2000";"Poids en KG Juin 2000";"Poids en KG Janvier 2001";"Poids en KG Février 2001";"Poids en KG Mars 2001";"Poids en KG Avril 2001";"Poids en KG Mai 2001";"Poids en KG Juin 2001";
"69";"PRODUITS CÉRAMIQUES";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"5655685";"8284451";"8614544";"5903504";"15402465";"9868150";"9561167";"8304656";"8738353";"8102492";"11997678";"9424844";
"70";"VERRE ET OUVRAGES EN VERRE";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"34200";"65127";"22904";"20578";"19218";"31148";"39511";"24622";"47062";"26889";"25046";"39006";
"70";"VERRE ET OUVRAGES EN VERRE";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"5765165";"3524813";"5151642";"5387378";"8006248";"5128032";"3796763";"9274110";"6960315";"3843596";"4875877";"6145244";
"70";"VERRE ET OUVRAGES EN VERRE";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"1094746";"861690";"1317704";"622368";"1385258";"4440004";"977425";"757649";"1077271";"978549";"1431155";"1762937";
"71";"PERLES FINES, PIERRES GEMMES ET MÉTAUX PRÉCIEUX, PLAQUÉS";"9";"OR INDUSTRIEL ";"9";"ARTICLES ET OPÉRATIONS NON CLASSÉS AILLEURS DANS LA CTCI";"0";"37";"6";"98";"0";"54";"125";"75";"54";"111";"91";"813";
"71";"PERLES FINES, PIERRES GEMMES ET MÉTAUX PRÉCIEUX, PLAQUÉS";"5";"DEMI  PRODUITS";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"71";"PERLES FINES, PIERRES GEMMES ET MÉTAUX PRÉCIEUX, PLAQUÉS";"5";"DEMI  PRODUITS";"9";"ARTICLES ET OPÉRATIONS NON CLASSÉS AILLEURS DANS LA CTCI";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";
"71";"PERLES FINES, PIERRES GEMMES ET MÉTAUX PRÉCIEUX, PLAQUÉS";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"5829";"12327";"3746";"5206";"8711";"15209";"5074";"8102";"25350";"52894";"44134";"13835";
"71";"PERLES FINES, PIERRES GEMMES ET MÉTAUX PRÉCIEUX, PLAQUÉS";"5";"DEMI  PRODUITS";"8";"ARTICLES MANUFACTURÉS DIVERS";"0";"0";"24";"0";"0";"0";"6";"0";"10";"62";"69";"55";
"71";"PERLES FINES, PIERRES GEMMES ET MÉTAUX PRÉCIEUX, PLAQUÉS";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"6";"4";"2";"5";"55";"62";"3";"9";"6";"7";"4591";"14";
"71";"PERLES FINES, PIERRES GEMMES ET MÉTAUX PRÉCIEUX, PLAQUÉS";"4";"PRODUITS BRUTS D'ORIGINE MINERALE";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"4";"0";"4";"4";"0";"0";"2";"4800";"0";"0";"0";"2";
